Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759620355,50,,Aggregated,45.600000,0.000000,26,47,50,53,75,130,270,370,1300,3700,3700,5454,0,26,46.94698889953143,2.1814169886056334,3652.9767499887384,3556.2455078841217
1759620356,50,,Aggregated,45.700000,0.000000,26,47,50,53,75,130,270,360,1300,3700,3700,5502,0,26,46.857461301528815,2.1814169886056334,3652.9767499887384,3547.8920392584514
1759620357,50,,Aggregated,45.600000,0.000000,26,47,50,53,75,130,270,360,1300,3700,3700,5546,0,26,46.76818945240932,2.1814169886056334,3652.9767499887384,3551.1772448611614
1759620358,50,,Aggregated,45.000000,0.000000,26,47,50,53,75,130,270,360,1300,3700,3700,5595,0,26,46.62095092225448,2.1814169886056334,3652.9767499887384,3551.4457551385167
1759620359,50,,Aggregated,44.800000,0.000000,26,47,50,53,75,130,270,350,1300,3700,3700,5645,0,26,46.47242619450933,2.1814169886056334,3652.9767499887384,3550.794154118689
1759620360,50,,Aggregated,45.300000,0.000000,26,46,50,53,74,130,270,350,1300,3700,3700,5696,0,26,46.26858502193714,2.1814169886056334,3652.9767499887384,3543.7521067415732
1759620361,50,,Aggregated,46.000000,0.000000,26,46,50,52,74,130,270,350,1300,3700,3700,5737,0,26,46.13718846783624,2.1814169886056334,3652.9767499887384,3540.563534948579
1759620362,50,,Aggregated,46.500000,0.000000,26,46,50,52,74,130,270,350,1300,3700,3700,5795,0,26,45.976194814308585,2.1814169886056334,3652.9767499887384,3547.5157894736844
1759620363,50,,Aggregated,46.600000,0.000000,26,46,50,52,73,130,260,350,1300,3700,3700,5837,0,26,45.81786217782211,2.1814169886056334,3652.9767499887384,3553.5559362686313
1759620364,50,,Aggregated,46.200000,0.000000,26,46,50,52,73,120,260,350,1300,3700,3700,5881,0,26,45.71516362573078,2.1814169886056334,3652.9767499887384,3562.6316952899165
1759620365,50,,Aggregated,48.200000,0.000000,26,46,50,52,73,120,260,350,1300,3700,3700,5918,0,26,45.59480366947255,2.1814169886056334,3652.9767499887384,3556.3977695167287
